Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"0,0091882","-0,00038393","-0,014459",0,0,0,25,"0,048482","7,7931E-07","-3,1662E-06","0,039882","1,9981E-06","0,066488",0,0,0,0,0,0,package://M-001-000-Robot-V1.SLDASM.zip/meshes/base_link.STL,"0,75294","0,75294","0,75294",1,0,0,0,0,0,0,package://M-001-000-Robot-V1.SLDASM.zip/meshes/base_link.STL,,AM-001-002-Squelette-V1-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Roue_ArG_Link,"-7,8621E-09","0,00014851","1,3166E-07",0,0,0,"0,236","1,712E-05","-1,1989E-12","-3,4901E-13","2,4417E-05","1,0819E-12","1,7119E-05",0,0,0,0,0,0,package://M-001-000-Robot-V1.SLDASM.zip/meshes/Roue_ArG_Link.STL,"0,75294","0,75294","0,75294",1,0,0,0,0,0,0,package://M-001-000-Robot-V1.SLDASM.zip/meshes/Roue_ArG_Link.STL,,3625-0001-0104-3,Origin_Roue_ArG_Joint,Axe1,Roue_ArG_Joint,revolute,"-0,14267","0,1615","0,23755","1,5708",0,0,base_link,0,0,0,0,0,0,0,,,,,,,,
Roue_AvG_Link,"-4,9744E-09","0,00014706","1,4603E-07",0,0,0,"0,236","1,712E-05","2,0272E-13","-1,7155E-12","2,4417E-05","-2,0598E-12","1,7119E-05",0,0,0,0,0,0,package://M-001-000-Robot-V1.SLDASM.zip/meshes/Roue_AvG_Link.STL,"0,75294","0,75294","0,75294",1,0,0,0,0,0,0,package://M-001-000-Robot-V1.SLDASM.zip/meshes/Roue_AvG_Link.STL,,3625-0100-0104-4,Origin_Roue_AvG_Joint,Axe2,Roue_AvG_Joint,revolute,"0,14267","0,1615","0,23755","1,5708",0,"2,6268",base_link,0,0,0,0,0,0,0,,,,,,,,
Roue_AvD_Link,"-1,8496E-09","0,00014851","1,2966E-07",0,0,0,"0,236","1,712E-05","-1,7156E-12","2,4201E-13","2,4417E-05","-1,8534E-13","1,7119E-05",0,0,0,0,0,0,package://M-001-000-Robot-V1.SLDASM.zip/meshes/Roue_AvD_Link.STL,"0,75294","0,75294","0,75294",1,0,0,0,0,0,0,package://M-001-000-Robot-V1.SLDASM.zip/meshes/Roue_AvD_Link.STL,,3625-0001-0104-4,Origin_Roue_AvD_Joint,Axe3,Roue_AvD_Joint,revolute,"0,14267","0,1615","-0,23755","-1,5708",0,"2,5629",base_link,0,0,0,0,0,0,0,,,,,,,,
Roue_ArD_Link,"-6,0997E-09","0,00014706","1,405E-07",0,0,0,"0,236","1,712E-05","7,8344E-13","1,5017E-12","2,4417E-05","-5,5569E-13","1,7119E-05",0,0,0,0,0,0,package://M-001-000-Robot-V1.SLDASM.zip/meshes/Roue_ArD_Link.STL,"0,75294","0,75294","0,75294",1,0,0,0,0,0,0,package://M-001-000-Robot-V1.SLDASM.zip/meshes/Roue_ArD_Link.STL,,3625-0100-0104-3,Origin_Roue_ArD_Joint,Axe4,Roue_ArD_Joint,revolute,"-0,14267","0,1615","-0,23755","-1,5708",0,"-0,06388",base_link,0,0,0,0,0,0,0,,,,,,,,
LiDAR_AvG_Link,"-0,0071366","0,028564","0,076175",0,0,0,"0,19","1,644E-05","1,0866E-07","-7,0409E-07","2,939E-05","-5,4212E-08","1,4426E-05",0,0,0,0,0,0,package://M-001-000-Robot-V1.SLDASM.zip/meshes/LiDAR_AvG_Link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://M-001-000-Robot-V1.SLDASM.zip/meshes/LiDAR_AvG_Link.STL,,LiDAR-1,Origin_LiDAR_AvG_Joint,,LiDAR_AvG_Joint,fixed,"0,22846","-0,031786","0,14004",0,"-0,0069011","3,1416",base_link,0,0,0,,,,,,,,,,,,
LiDAR_ArD_Link,"-0,0071366","0,028565","0,076175",0,0,0,"0,19","1,644E-05","1,0866E-07","-7,0409E-07","2,939E-05","-5,4212E-08","1,4426E-05",0,0,0,0,0,0,package://M-001-000-Robot-V1.SLDASM.zip/meshes/LiDAR_ArD_Link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://M-001-000-Robot-V1.SLDASM.zip/meshes/LiDAR_ArD_Link.STL,,LiDAR-2,Origin_LiDAR_ArD_Joint,,LiDAR_ArD_Joint,fixed,"-0,22828","-0,031786","-0,14006","3,1416","0,0091971",0,base_link,0,0,0,,,,,,,,,,,,
IMU_Link,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://M-001-000-Robot-V1.SLDASM.zip/meshes/IMU_Link.STL,1,1,1,1,0,0,0,0,0,0,package://M-001-000-Robot-V1.SLDASM.zip/meshes/IMU_Link.STL,,AM-001-004-IMU Assemblé-1,Origin_IMU_Joint,,IMU_Joint,fixed,"-0,008","-0,0761","0,0052","-1,5708",0,"-3,1416",base_link,0,0,0,,,,,,,,,,,,
